formula,read_once,concentration,eps,sym_acc,raw_acc,norm_acc
majority3,False,1.0,0.4,0.8617777777777778,0.8770000000000001,0.8775555555555555
majority3,False,2.0,0.4,0.8816666666666667,0.891,0.8922222222222222
majority3,False,4.0,0.4,0.9233333333333333,0.8944444444444444,0.9014444444444445
majority3,False,8.0,0.4,0.9658888888888889,0.8834444444444444,0.9006666666666666
majority3,False,16.0,0.4,0.9935555555555555,0.8781111111111111,0.8965555555555556
majority3,False,32.0,0.4,0.9998888888888889,0.874,0.8912222222222222
majority3,False,64.0,0.4,1.0,0.87,0.8882222222222222
response,True,1.0,0.4,0.8054444444444444,0.8155555555555556,0.8155555555555556
response,True,2.0,0.4,0.8460000000000001,0.8494444444444444,0.8494444444444444
response,True,4.0,0.4,0.8988888888888887,0.8921111111111112,0.8921111111111112
response,True,8.0,0.4,0.9580000000000001,0.9334444444444445,0.9334444444444445
response,True,16.0,0.4,0.9945555555555555,0.9615555555555556,0.9615555555555556
response,True,32.0,0.4,0.9998888888888889,0.9817777777777777,0.9817777777777777
response,True,64.0,0.4,1.0,0.9897777777777778,0.9897777777777778
ijcnn_n4,True,1.0,0.4,0.831,0.8452222222222222,0.8452222222222222
ijcnn_n4,True,2.0,0.4,0.8643333333333333,0.8714444444444444,0.8714444444444444
ijcnn_n4,True,4.0,0.4,0.911888888888889,0.8936666666666667,0.8936666666666667
ijcnn_n4,True,8.0,0.4,0.9622222222222222,0.9056666666666667,0.9056666666666667
ijcnn_n4,True,16.0,0.4,0.9940000000000001,0.9103333333333333,0.9103333333333333
ijcnn_n4,True,32.0,0.4,0.9998888888888889,0.9155555555555556,0.9155555555555556
ijcnn_n4,True,64.0,0.4,1.0,0.9248888888888889,0.9248888888888889
