formula,n_atoms,multiplicity,trace_len,p,exact,soft_raw,soft_norm,gap_raw,gap_norm
majority3,3,2,1,0.05,0.007250000000000001,0.007481276988983154,0.007432561268370445,0.00023127698898315306,0.0001825612683704434
majority3,3,2,1,0.1,0.028000000000000004,0.029700934886932373,0.029037658708051774,0.001700934886932369,0.0010376587080517703
majority3,3,2,1,0.15,0.06075,0.06599259376525879,0.06317357561438312,0.005242593765258791,0.002423575614383125
majority3,3,2,1,0.2,0.10400000000000004,0.11526405811309814,0.10786373786915725,0.011264058113098108,0.0038637378691572105
majority3,3,2,1,0.25,0.15625,0.176025390625,0.16115333035315155,0.019775390625,0.004903330353151547
majority3,3,2,1,0.3,0.216,0.24642908573150635,0.22125509790809167,0.03042908573150635,0.0052550979080916715
majority3,3,2,1,0.35,0.28174999999999994,0.3243195414543152,0.286572349316673,0.04256954145431524,0.00482234931667308
majority3,3,2,1,0.4,0.35200000000000004,0.4072960615158081,0.3556698401620948,0.05529606151580807,0.003669840162094762
majority3,3,2,1,0.45,0.4252500000000001,0.4927849769592285,0.4272281381184053,0.06753497695922844,0.0019781381184052482
majority3,3,2,1,0.5,0.5,0.578125,0.5,0.078125,0.0
majority3,3,2,1,0.55,0.5747500000000001,0.6606619358062744,0.5727718618815947,0.08591193580627432,-0.0019781381184054148
majority3,3,2,1,0.6,0.6479999999999999,0.7378560304641724,0.6443302939862985,0.08985603046417245,-0.0036697060137014237
majority3,3,2,1,0.65,0.71825,0.807400107383728,0.7134277033506532,0.08915010738372797,-0.004822296649346858
majority3,3,2,1,0.7,0.7839999999999998,0.8673490285873413,0.7787449020919084,0.0833490285873415,-0.005255097908091422
majority3,3,2,1,0.75,0.84375,0.916259765625,0.8388466696468485,0.072509765625,-0.004903330353151492
majority3,3,2,1,0.8,0.8960000000000001,0.9533439874649048,0.8921362621308427,0.057343987464904655,-0.003863737869157391
majority3,3,2,1,0.85,0.9392499999999999,0.978630781173706,0.9368264243856169,0.039380781173706136,-0.002423575614383
majority3,3,2,1,0.9,0.9720000000000001,0.9931409955024719,0.9709623412919482,0.021140995502471838,-0.0010376587080518362
majority3,3,2,1,0.95,0.99275,0.9990731477737427,0.9925674979481477,0.0063231477737426545,-0.00018250205185232904
atleast2of4,4,3,1,0.05,0.014018750000000003,0.014906525611877441,0.014906525611877441,0.000887775611877438,0.000887775611877438
atleast2of4,4,3,1,0.1,0.052300000000000006,0.05851978063583374,0.05851978063583374,0.006219780635833734,0.006219780635833734
atleast2of4,4,3,1,0.15,0.10951875000000001,0.12763017416000366,0.12763017416000366,0.01811142416000365,0.01811142416000365
atleast2of4,4,3,1,0.2,0.18080000000000002,0.21724236011505127,0.21724236011505127,0.03644236011505125,0.03644236011505125
atleast2of4,4,3,1,0.25,0.26171875,0.32106584310531616,0.32106584310531616,0.05934709310531616,0.05934709310531616
atleast2of4,4,3,1,0.3,0.34830000000000005,0.4321308732032776,0.4321308732032776,0.08383087320327753,0.08383087320327753
atleast2of4,4,3,1,0.35,0.43701874999999996,0.543455958366394,0.543455958366394,0.10643720836639409,0.10643720836639409
atleast2of4,4,3,1,0.4,0.5247999999999999,0.6487020254135132,0.6487018707509349,0.12390202541351325,0.12390187075093495
atleast2of4,4,3,1,0.45,0.60901875,0.7427328824996948,0.7427328824996948,0.13371413249969477,0.13371413249969477
atleast2of4,4,3,1,0.5,0.6875,0.822021484375,0.822021484375,0.134521484375,0.134521484375
atleast2of4,4,3,1,0.55,0.75851875,0.8848496675491333,0.8848496675491333,0.12633091754913328,0.12633091754913328
atleast2of4,4,3,1,0.6,0.8208,0.9312805533409119,0.9312805533409119,0.11048055334091189,0.11048055334091189
atleast2of4,4,3,1,0.65,0.8735187500000001,0.9629052877426147,0.9629052877426147,0.08938653774261462,0.08938653774261462
