schema_version,run_id,cell_id,panel,formula_id,formula_family,parameters_json,tree_shape,monitor_id,monitor_name,backend,requested_device,effective_device,trace_seed,repetition,trace_length,batch_size,warmup_iterations,inner_iterations,status,duration_s_per_batch,duration_s_per_trace,duration_s_per_cell,throughput_traces_s,estimated_scan_stack_bytes,warnings_json,failure_reason
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r0::l32::b1,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,1201,0,32,1,2,22,success,0.004070716181807008,0.004070716181807008,0.000127209880681469,245.65701840605743,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r0::l32::b64,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,1201,0,32,64,2,6,success,0.016261185166513314,0.00025408101822677054,7.94003181958658e-06,3935.752489418502,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r1::l32::b1,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,2309,1,32,1,2,10,success,0.005458886199994595,0.005458886199994595,0.0001705901937498311,183.1875520689532,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r1::l32::b64,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,2309,1,32,64,2,4,success,0.014543028750267695,0.00022723482422293273,7.101088256966648e-06,4400.733925443278,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r2::l32::b1,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,3413,2,32,1,2,11,success,0.004911574909122216,0.004911574909122216,0.00015348671591006925,203.600681757436,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r2::l32::b64,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,3413,2,32,64,2,3,success,0.016672588333070355,0.0002605091927042243,8.140912272007009e-06,3838.636132642641,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r3::l32::b1,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,4517,3,32,1,2,13,success,0.004595546923015858,0.004595546923015858,0.00014361084134424556,217.60195614404552,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r3::l32::b64,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,4517,3,32,64,2,4,success,0.01396805674994539,0.00021825088671789672,6.8203402099342725e-06,4581.882873596588,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r4::l32::b1,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,5623,4,32,1,2,11,success,0.004792893818045162,0.004792893818045162,0.00014977793181391132,208.64221866026267,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_flat::r4::l32::b64,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,RuleRunnerMonitor,flat_cilp,cpu,cpu,5623,4,32,64,2,6,success,0.014209596166741298,0.00022202494010533277,6.938279378291649e-06,4503.998512624669,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r0::l32::b1,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_structured,StructuredRuleRunnerMonitor,module_scheduled_cilp,cpu,cpu,1201,0,32,1,2,4,success,0.021581448500000988,0.021581448500000988,0.0006744202656250309,46.3360927789418,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r0::l32::b64,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_structured,StructuredRuleRunnerMonitor,module_scheduled_cilp,cpu,cpu,1201,0,32,64,2,1,success,0.060986305001279106,0.000952911015644986,2.9778469238905814e-05,1049.415930324975,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r1::l32::b1,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_structured,StructuredRuleRunnerMonitor,module_scheduled_cilp,cpu,cpu,2309,1,32,1,2,2,success,0.026056239501485834,0.026056239501485834,0.0008142574844214323,38.37852349887158,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r1::l32::b64,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_structured,StructuredRuleRunnerMonitor,module_scheduled_cilp,cpu,cpu,2309,1,32,64,2,1,success,0.05549079900083598,0.0008670437343880621,2.7095116699626942e-05,1153.3443589276094,,[],
rq3.v1,0fa12163-ecac-4e16-84e9-78c19bb7291b,tree_shape::ijcnn_balanced_n4::rulerunner_original_structured::r2::l32::b1,tree_shape,ijcnn_balanced_n4,ijcnn,"{""n_atoms"": 4}",balanced,rulerunner_original_structured,StructuredRuleRunnerMonitor,module_scheduled_cilp,cpu,cpu,3413,2,32,1,2,4,success,0.022445961500125122,0.022445961500125122,0.0007014362968789101,44.551444142610045,,[],
