schema_version,panel,formula_id,parameters_json,tree_shape,monitor_id,trace_length,batch_size,repetitions,n_atoms,ast_depth,dfa_states,cube_count,dense_tensor_bytes,cube_tensor_bytes,persistent_bytes,total_rules,fallbacks,compile_s_median,compile_s_ci95_low,compile_s_ci95_high,latency_s_per_trace_median,latency_s_per_trace_ci95_low,latency_s_per_trace_ci95_high,throughput_traces_s_median,throughput_traces_s_ci95_low,throughput_traces_s_ci95_high
rq3.v1,tree_shape,ijcnn_balanced_n4,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,32,1,5,4,4,,,,,65148,132,0,0.04292447199986782,0.03979497500040452,0.047597643999324646,0.004792893818045162,0.004070716181807008,0.005458886199994595,208.64221866026267,183.1875520689532,245.65701840605743
rq3.v1,tree_shape,ijcnn_balanced_n4,"{""n_atoms"": 4}",balanced,rulerunner_original_flat,32,64,5,4,4,,,,,65148,132,0,0.04292447199986782,0.03979497500040452,0.047597643999324646,0.00022723482422293273,0.00021825088671789672,0.0002605091927042243,4400.733925443278,3838.636132642641,4581.882873596588
rq3.v1,tree_shape,ijcnn_balanced_n4,"{""n_atoms"": 4}",balanced,rulerunner_original_structured,32,1,5,4,4,,,,,69468,132,0,0.04161290599950007,0.039840339002694236,0.04263857800106052,0.022790651999457623,0.021581448500000988,0.026056239501485834,43.87763895582269,38.37852349887158,46.3360927789418
rq3.v1,tree_shape,ijcnn_balanced_n4,"{""n_atoms"": 4}",balanced,rulerunner_original_structured,32,64,5,4,4,,,,,69468,132,0,0.04161290599950007,0.039840339002694236,0.04263857800106052,0.0008670437343880621,0.0007937138906299879,0.000952911015644986,1153.3443589276094,1049.415930324975,1259.8998351991527
rq3.v1,tree_shape,ijcnn_left_deep_n4,"{""n_atoms"": 4}",left_deep,rulerunner_original_flat,32,1,5,4,4,,,,,65148,132,0,0.0397726680021151,0.039447512001061114,0.0406639909997466,0.00392300292852659,0.0037820692500645237,0.004350588499922499,254.9067686716161,229.8539611406167,264.4055235061969
rq3.v1,tree_shape,ijcnn_left_deep_n4,"{""n_atoms"": 4}",left_deep,rulerunner_original_flat,32,64,5,4,4,,,,,65148,132,0,0.0397726680021151,0.039447512001061114,0.0406639909997466,0.00022618155860243405,0.00018671953645821304,0.0005910729257863068,4421.22693900845,1691.8386147863157,5355.625977701564
rq3.v1,tree_shape,ijcnn_left_deep_n4,"{""n_atoms"": 4}",left_deep,rulerunner_original_structured,32,1,5,4,4,,,,,69468,132,0,0.04193242999826907,0.03928326299865148,0.05348316199888359,0.023829825499888102,0.02264431200001127,0.0334707409983821,41.9642183281911,29.876840792031995,44.16120039326001
rq3.v1,tree_shape,ijcnn_left_deep_n4,"{""n_atoms"": 4}",left_deep,rulerunner_original_structured,32,64,5,4,4,,,,,69468,132,0,0.04193242999826907,0.03928326299865148,0.05348316199888359,0.000936875234344825,0.0008663725468522898,0.0010260884374702073,1067.377985179979,974.5748645852325,1154.2378664157889
rq3.v1,tree_shape,ijcnn_balanced_n8,"{""n_atoms"": 8}",balanced,rulerunner_original_flat,32,1,5,8,5,,,,,394092,348,0,0.055230150999705074,0.05361925399847678,0.0948696640007256,0.0076516185714094066,0.006058071222165988,0.008448473250155075,130.6913028488563,118.36458143270379,165.06903985233478
rq3.v1,tree_shape,ijcnn_balanced_n8,"{""n_atoms"": 8}",balanced,rulerunner_original_flat,32,64,5,8,5,,,,,394092,348,0,0.055230150999705074,0.05361925399847678,0.0948696640007256,0.00037969107812330094,0.00034297844140951383,0.0005548539843687195,2633.7200361480704,1802.2759647977327,2915.6351515575498
