monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,response,2,1000,100,5,8.302444259970798e-07,2.0005832265245773e-08,cpu,True,
SymbolicDFAMonitor,response,2,2000,100,5,8.51598630000808e-07,3.8414243897498605e-08,cpu,True,
SymbolicDFAMonitor,response,2,3000,100,5,8.531660906664911e-07,3.37269089559609e-08,cpu,True,
SymbolicDFAMonitor,response,2,4000,100,5,1.4298202485006187e-06,3.0214833561122965e-07,cpu,True,
SymbolicDFAMonitor,response,2,5000,100,5,1.00548875799941e-06,2.893892689053938e-07,cpu,True,
SymbolicDFAMonitor,response,2,6000,100,5,8.644399579995175e-07,1.774962936387267e-08,cpu,True,
SymbolicDFAMonitor,response,2,7000,100,5,8.751380171436593e-07,3.122387548750596e-08,cpu,True,
SymbolicDFAMonitor,response,2,8000,100,5,1.1706770645005237e-06,3.628083735874819e-07,cpu,True,
SymbolicDFAMonitor,response,2,9000,100,5,8.511097466669323e-07,1.726249510523413e-08,cpu,True,
SymbolicDFAMonitor,response,2,10000,100,5,1.3040881389999413e-06,3.304941075923652e-07,cpu,True,
RuleRunnerMonitor,response,2,1000,100,5,7.748379977998411e-06,1.174849835206462e-07,cpu,True,
RuleRunnerMonitor,response,2,2000,100,5,9.509780510999917e-06,1.919332622846721e-06,cpu,True,
RuleRunnerMonitor,response,2,3000,100,5,8.908131217335419e-06,1.5763295089512889e-06,cpu,True,
RuleRunnerMonitor,response,2,4000,100,5,8.598821855501227e-06,1.2051678211592119e-06,cpu,True,
RuleRunnerMonitor,response,2,5000,100,5,8.648868964001303e-06,1.1284178920716346e-06,cpu,True,
RuleRunnerMonitor,response,2,6000,100,5,8.877334262667623e-06,1.2897195833780548e-06,cpu,True,
RuleRunnerMonitor,response,2,7000,100,5,8.735915307143193e-06,1.089231090444882e-06,cpu,True,
RuleRunnerMonitor,response,2,8000,100,5,8.766763290249857e-06,4.919854576370224e-07,cpu,True,
RuleRunnerMonitor,response,2,9000,100,5,8.892143883555643e-06,7.68087604078011e-07,cpu,True,
RuleRunnerMonitor,response,2,10000,100,5,8.843840399799955e-06,6.742118086109829e-07,cpu,True,
StructuredRuleRunnerMonitor,response,2,1000,100,5,1.7659317869998628e-05,3.5199687107992323e-06,cpu,True,
StructuredRuleRunnerMonitor,response,2,2000,100,5,1.5798051210000267e-05,2.3668332529166915e-06,cpu,True,
StructuredRuleRunnerMonitor,response,2,3000,100,5,1.6014979269332497e-05,2.602009725508866e-06,cpu,True,
StructuredRuleRunnerMonitor,response,2,4000,100,5,1.597865355650174e-05,1.8511993332945887e-06,cpu,True,
StructuredRuleRunnerMonitor,response,2,5000,100,5,1.640282251239987e-05,1.830712462406537e-06,cpu,True,
StructuredRuleRunnerMonitor,response,2,6000,100,5,1.6080776853332282e-05,1.1311406964916432e-06,cpu,True,
StructuredRuleRunnerMonitor,response,2,7000,100,5,1.589989992914291e-05,6.344721896817877e-07,cpu,True,
StructuredRuleRunnerMonitor,response,2,8000,100,5,1.561672767799928e-05,5.720990911551521e-07,cpu,True,
StructuredRuleRunnerMonitor,response,2,9000,100,5,1.5748257986000275e-05,6.539903719452844e-08,cpu,True,
StructuredRuleRunnerMonitor,response,2,10000,100,5,1.5550780679599845e-05,6.72433727293855e-08,cpu,True,
ProgressionRuleRunnerMonitor,response,2,1000,100,5,2.399636857997393e-06,1.1030161171864447e-07,cpu,True,
ProgressionRuleRunnerMonitor,response,2,2000,100,5,2.3489717729989936e-06,6.066476394009827e-08,cpu,True,
ProgressionRuleRunnerMonitor,response,2,3000,100,5,3.559871569998601e-06,5.793982406634782e-07,cpu,True,
