monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,ijcnn_n2,2,500,100,5,3.7395999600266803e-07,7.570074604224903e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n4,4,500,100,5,4.08511831999931e-07,3.440401701346667e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,500,100,5,4.0043172000150665e-07,2.790875858439041e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n16,16,500,100,5,3.8233574000332733e-07,1.994632530388587e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n32,32,500,100,5,7.343313560086244e-07,1.4809586753174008e-08,cpu,False,
RuleRunnerMonitor,ijcnn_n2,2,500,100,5,6.544720255998982e-06,1.4004001567037547e-06,cpu,False,
RuleRunnerMonitor,ijcnn_n4,4,500,100,5,6.916688463996253e-06,2.41540814703347e-07,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,500,100,5,1.3235919279999507e-05,1.3990436788140254e-07,cpu,False,
RuleRunnerMonitor,ijcnn_n16,16,500,100,5,4.717270130799807e-05,1.5443183493674134e-05,cpu,False,
RuleRunnerMonitor,ijcnn_n32,32,500,100,5,0.0001677752395159987,1.554443624163858e-05,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n2,2,500,100,5,1.3827680192003753e-05,3.1642560261073494e-06,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n4,4,500,100,5,3.46079949599989e-05,5.869773722581317e-06,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,500,100,5,0.00011266026811200934,1.6388309019700663e-05,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n16,16,500,100,5,0.00036753615149599865,1.4151498538112076e-05,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n32,32,500,100,5,0.0013129826388680085,2.308492823036368e-05,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n2,2,500,100,5,2.486770319999778e-06,1.6958114023026738e-07,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n4,4,500,100,5,2.755897171999095e-06,3.1678950525453414e-08,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,500,100,5,4.519349092002813e-06,2.163760710340812e-07,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n16,16,500,100,5,0.0005487918263000029,1.840062122070851e-05,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n2,2,500,100,5,5.148932136002259e-06,1.3225837253308396e-07,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n4,4,500,100,5,1.013102367999818e-05,1.8935141510238405e-06,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,500,100,5,2.2165146555998943e-05,4.982141125026824e-06,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n16,16,500,100,5,0.0007334127440239936,9.066835203322757e-05,cpu,False,
DeepDFAMonitorFactored,ijcnn_n2,2,500,100,5,3.592786291992525e-06,2.2633069879485443e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n4,4,500,100,5,4.04610142402089e-06,8.762929889937432e-08,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,500,100,5,4.688757135991182e-06,1.1822238993629293e-06,cpu,False,
DeepDFAMonitorFactored,ijcnn_n16,16,500,100,5,4.3981778040033534e-06,2.0869329302479512e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n32,32,500,100,5,1.9253864552003505e-05,1.6767301521681005e-06,cpu,False,
DeepDFAMonitorDense,ijcnn_n2,2,500,100,5,1.2398241999908352e-06,3.865121752210039e-08,cpu,False,
DeepDFAMonitorDense,ijcnn_n4,4,500,100,5,2.657955635993858e-06,7.573659124256356e-08,cpu,False,
DeepDFAMonitorDense,ijcnn_n8,8,500,100,5,3.5885627600000587e-06,1.4662812367791906e-07,cpu,False,
DeepDFAMonitorDense,ijcnn_n16,16,500,100,5,3.009507951996056e-06,1.1992700985750047e-07,cpu,False,
