monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,ijcnn_n8_xdepth0,8,500,1,25,4.1939727962017056e-07,4.216337867845082e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth1,8,500,1,25,5.563524801982566e-07,8.893020172198255e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth2,8,500,1,25,4.3799992025014943e-07,5.856387333234355e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth3,8,500,1,25,4.410446403198876e-07,3.263473599697395e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth4,8,500,1,25,7.739286401192658e-07,1.1368852397198463e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth5,8,500,1,25,3.9448992014513355e-07,1.1967237837984799e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth6,8,500,1,25,4.1025151978828943e-07,2.3835743302447007e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth7,8,500,1,25,4.091962400707416e-07,2.0360199806906762e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth8,8,500,1,25,4.3992823964799753e-07,2.4063246429842437e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth9,8,500,1,25,4.0565464005339884e-07,2.7852676743676347e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8_xdepth10,8,500,1,25,6.886056803341489e-07,5.0857286594646876e-08,cpu,False,
RuleRunnerMonitor,ijcnn_n8_xdepth0,8,500,1,25,0.00037006412167989763,1.8806292634573612e-05,cpu,False,
RuleRunnerMonitor,ijcnn_n8_xdepth1,8,500,1,25,0.00040953751088090943,6.959082336727951e-05,cpu,False,
RuleRunnerMonitor,ijcnn_n8_xdepth2,8,500,1,25,0.0004390278304003004,9.023911107140701e-05,cpu,False,
