monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,boundedresp_k2,4,500,256,5,7.351261218701666e-07,2.7509616221099435e-08,cpu,False,
SymbolicDFAMonitor,boundedresp_k4,6,500,256,5,4.4784836406108756e-07,7.2815047534443424e-09,cpu,False,
SymbolicDFAMonitor,boundedresp_k6,8,500,256,5,6.458353312496001e-07,5.564230142467878e-08,cpu,False,
SymbolicDFAMonitor,boundedresp_k8,10,500,256,5,8.162936187488867e-07,5.41074724525185e-08,cpu,False,
SymbolicDFAMonitor,boundedresp_k10,12,500,256,5,8.643786796852739e-07,7.754630129737075e-08,cpu,False,
SymbolicDFAMonitor,boundedresp_k12,14,500,256,5,9.502256609408731e-07,1.5391476580195585e-07,cpu,False,
SymbolicDFAMonitor,boundedresp_k14,16,500,256,5,8.690150625000115e-07,5.345135786773601e-08,cpu,False,
SymbolicDFAMonitor,boundedresp_k16,18,500,256,5,8.685900999978459e-07,5.4578174316695484e-08,cpu,False,
SymbolicDFAMonitor,boundedresp_k18,20,500,256,5,8.973426593826161e-07,9.190223200752269e-08,cpu,False,
RuleRunnerMonitor,boundedresp_k2,4,500,256,5,1.1298251943748027e-05,2.68756734262699e-06,cpu,False,
RuleRunnerMonitor,boundedresp_k4,6,500,256,5,2.2169608174999664e-05,3.3708855879281077e-06,cpu,False,
RuleRunnerMonitor,boundedresp_k6,8,500,256,5,4.070098289687679e-05,5.9549551356300665e-06,cpu,False,
RuleRunnerMonitor,boundedresp_k8,10,500,256,5,7.011753188124602e-05,6.213354526468841e-06,cpu,False,
RuleRunnerMonitor,boundedresp_k10,12,500,256,5,0.00011005073651874965,1.965612242337364e-06,cpu,False,
RuleRunnerMonitor,boundedresp_k12,14,500,256,5,0.00016327467931718902,6.337131236594269e-06,cpu,False,
RuleRunnerMonitor,boundedresp_k14,16,500,256,5,0.0002255085609968802,3.3610610490596263e-07,cpu,False,
RuleRunnerMonitor,boundedresp_k16,18,500,256,5,0.0003015175658187502,7.729087457782502e-06,cpu,False,
RuleRunnerMonitor,boundedresp_k18,20,500,256,5,0.0004248655860171851,8.275237475705498e-06,cpu,False,
StructuredRuleRunnerMonitor,boundedresp_k2,4,500,256,5,1.4173429095313848e-05,1.9655713450097993e-07,cpu,False,
StructuredRuleRunnerMonitor,boundedresp_k4,6,500,256,5,3.24651952812502e-05,4.468387591690113e-06,cpu,False,
StructuredRuleRunnerMonitor,boundedresp_k6,8,500,256,5,5.044686566718611e-05,6.462046523115314e-06,cpu,False,
StructuredRuleRunnerMonitor,boundedresp_k8,10,500,256,5,7.360008562343978e-05,4.220003336509628e-06,cpu,False,
