monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,response,2,1000,100,5,1.3837365639999463e-06,6.079965294820841e-08,cpu,True,
SymbolicDFAMonitor,response,2,2000,100,5,1.403610912999966e-06,7.154027077827652e-08,cpu,True,
SymbolicDFAMonitor,response,2,3000,100,5,7.307645473333273e-07,3.315139224702794e-08,cpu,True,
SymbolicDFAMonitor,response,2,4000,100,5,7.50332697000033e-07,2.6050498995021328e-08,cpu,True,
SymbolicDFAMonitor,response,2,5000,100,5,8.053877867999972e-07,1.2949832149363483e-07,cpu,True,
SymbolicDFAMonitor,response,2,6000,100,5,8.642752836666431e-07,2.6567092552159864e-07,cpu,True,
SymbolicDFAMonitor,response,2,7000,100,5,1.0985178880000117e-06,4.353580914151051e-07,cpu,True,
SymbolicDFAMonitor,response,2,8000,100,5,7.284054940000003e-07,1.7783727858331825e-08,cpu,True,
SymbolicDFAMonitor,response,2,9000,100,5,7.755176437777765e-07,1.0845331039027199e-07,cpu,True,
SymbolicDFAMonitor,response,2,10000,100,5,9.438343993999979e-07,2.5430534954322597e-07,cpu,True,
RuleRunnerMonitor,response,2,1000,100,5,1.991286807999995e-05,2.584424306798791e-06,cuda,True,Tesla T4
RuleRunnerMonitor,response,2,2000,100,5,1.9801406676000054e-05,1.7480262892153253e-06,cuda,True,Tesla T4
RuleRunnerMonitor,response,2,3000,100,5,1.8984785643999997e-05,1.2869827607475566e-06,cuda,True,Tesla T4
RuleRunnerMonitor,response,2,4000,100,5,1.930672386699999e-05,9.193513243144392e-07,cuda,True,Tesla T4
RuleRunnerMonitor,response,2,5000,100,5,1.94225481744e-05,3.891809201479232e-07,cuda,True,Tesla T4
RuleRunnerMonitor,response,2,6000,100,5,1.9328152941333394e-05,3.711139893746191e-07,cuda,True,Tesla T4
RuleRunnerMonitor,response,2,7000,100,5,1.922701574628572e-05,3.217233755856358e-07,cuda,True,Tesla T4
RuleRunnerMonitor,response,2,8000,100,5,1.9181518537250042e-05,4.006192877168411e-07,cuda,True,Tesla T4
RuleRunnerMonitor,response,2,9000,100,5,1.9547287993111114e-05,1.0324845596377587e-06,cuda,True,Tesla T4
RuleRunnerMonitor,response,2,10000,100,5,1.8948077853999982e-05,4.015413982473917e-07,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,1000,100,5,3.5446988240000336e-05,3.919597055088498e-06,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,2000,100,5,3.555371094299994e-05,8.3659980259186e-07,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,3000,100,5,3.5300202290666834e-05,9.138303085828009e-07,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,4000,100,5,3.510941475049993e-05,2.5805683925585895e-07,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,5000,100,5,3.5278756865999815e-05,9.190168803980343e-07,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,6000,100,5,3.490705033533338e-05,7.547067115827795e-07,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,7000,100,5,3.527657566542848e-05,4.05431247163253e-07,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,8000,100,5,3.484089623624999e-05,1.0728908945291803e-07,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,9000,100,5,3.552541989733325e-05,6.225794713114544e-07,cuda,True,Tesla T4
StructuredRuleRunnerMonitor,response,2,10000,100,5,3.525099792360002e-05,5.263793208651207e-07,cuda,True,Tesla T4
ProgressionRuleRunnerMonitor,response,2,1000,100,5,5.079731787999662e-06,9.157078935882241e-07,cuda,True,Tesla T4
ProgressionRuleRunnerMonitor,response,2,2000,100,5,5.01509088200055e-06,7.998367402158148e-07,cuda,True,Tesla T4
ProgressionRuleRunnerMonitor,response,2,3000,100,5,5.445325673333172e-06,1.0057576271646072e-06,cuda,True,Tesla T4
ProgressionRuleRunnerMonitor,response,2,4000,100,5,5.005581279500119e-06,6.595702089386875e-07,cuda,True,Tesla T4
