monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,ijcnn_n8,8,1000,1,5,3.190304000099786e-07,1.1653071173686746e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,2,5,5.878656999811938e-07,3.397571178422481e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,4,5,3.092807999962588e-07,4.942659293433633e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,8,5,3.237883999986479e-07,1.8826403964484728e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,16,5,3.0871790000190914e-07,8.114998543278028e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,32,5,3.1653991250095715e-07,4.2559328970350095e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,64,5,3.0969469687462944e-07,3.5109384893158393e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,128,5,3.2678166562547514e-07,3.1697644486283954e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,256,5,3.2714696249964706e-07,2.777784869231649e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,512,5,6.476581878905208e-07,2.1272161290585785e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,1024,5,3.242923187499969e-07,1.0057719539255922e-08,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,1,5,0.0011498957547999452,0.0001449621054729303,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,2,5,0.0004844708218000051,2.1488514903690212e-06,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,4,5,0.0002845429236999962,3.615602805959684e-05,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,8,5,0.00013220431599999643,1.8000478221930308e-05,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,16,5,6.167801455000018e-05,3.3794858073401055e-07,cuda,False,Tesla T4
