monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,ijcnn_n8,8,1000,1,5,4.2489680017752104e-07,1.238281053599919e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,2,5,3.7747709993709576e-07,5.656396239009372e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,4,5,3.7574300004052934e-07,1.742096419671935e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,8,5,3.66176550005548e-07,3.464497312346887e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,16,5,3.985068625297572e-07,5.058140925000556e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,32,5,3.701968625136942e-07,5.133554918902942e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,64,5,4.318579937489631e-07,1.0292762524181483e-07,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,128,5,3.822929093729499e-07,9.360691182870012e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,256,5,3.867528226550121e-07,3.219631520286749e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,512,5,3.931577410156706e-07,1.8415257283394734e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,1024,5,7.346791259767117e-07,4.178754014224395e-08,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,1,5,0.0003569364577997476,8.549455612788207e-06,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,2,5,0.00020437424049996478,5.499216419214408e-06,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,4,5,0.00010626593090000823,2.780153153183534e-06,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,8,5,8.77841478249593e-05,1.5033157234244713e-06,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,16,5,3.4052641737480374e-05,9.77451938105434e-07,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,32,5,2.135431995624231e-05,2.6187232837632004e-07,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,64,5,1.6648317381253722e-05,2.3839665470705564e-06,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,128,5,1.558629260937323e-05,3.297937559791363e-06,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,256,5,1.2560787878906863e-05,2.027757434363768e-06,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,512,5,1.1466139595703595e-05,1.6215576706532405e-06,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,1024,5,1.1253957026367089e-05,4.520318745774176e-07,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,1,5,0.004503407303399581,0.00043672220396069876,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,2,5,0.002329282565199901,0.0003612023132924426,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,4,5,0.001284521040349864,0.00020567680123045952,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,8,5,0.0006776428741999553,0.00010306617286264132,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,16,5,0.00036938765540003263,4.488583021787655e-05,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,32,5,0.00021962762898750728,2.53108836674149e-05,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,64,5,0.00013855488468749968,1.2095230433046905e-05,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,128,5,9.908772689531133e-05,3.927554954834876e-06,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,256,5,8.146859773749782e-05,2.41357435347073e-06,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,512,5,7.085182765664158e-05,2.2897932171662954e-06,cpu,False,
StructuredRuleRunnerMonitor,ijcnn_n8,8,1000,1024,5,6.668147375644543e-05,8.033289139436789e-07,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,1,5,0.00016565793260015196,5.282122528021088e-06,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,2,5,8.782959840009426e-05,3.820156650001758e-06,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,4,5,4.502532189990233e-05,2.659821685766236e-06,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,8,5,2.433939512507095e-05,1.4323096537491716e-06,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,16,5,1.3844265162492774e-05,7.669201794108223e-07,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,32,5,1.2385167518755223e-05,1.7280458585498797e-06,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,64,5,7.386012246877271e-06,2.096654240650258e-06,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,128,5,4.274078006250193e-06,9.205115625464412e-08,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,256,5,5.149819217965047e-06,1.0592358329027416e-06,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,512,5,3.972005392576961e-06,9.65084656761023e-07,cpu,False,
ProgressionRuleRunnerMonitor,ijcnn_n8,8,1000,1024,5,3.45337485625059e-06,6.318023499304173e-07,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,1,5,0.00133410473499971,0.00022123065771369698,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,2,5,0.0005654808052999215,4.466814325721711e-06,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,4,5,0.00031827490605001,4.7761400380203295e-05,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,8,5,0.00019731840427498356,3.921145436170124e-05,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,16,5,9.265428906248872e-05,1.7584316959315947e-05,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,32,5,4.221877946249606e-05,4.660877878124287e-07,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,64,5,2.4288112818754825e-05,8.881403694565405e-08,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,128,5,1.7088270098437875e-05,3.5529121453184304e-06,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,256,5,1.2411059087499154e-05,2.5543360270260723e-06,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,512,5,1.0028738237109279e-05,1.9053085103376449e-06,cpu,False,
ProgressionRuleRunnerStructuredMonitor,ijcnn_n8,8,1000,1024,5,8.443568904883137e-06,9.124469062670173e-07,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,1,5,4.099539939998066e-05,8.296143992021018e-06,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,2,5,2.007668959995499e-05,1.1335266815182714e-06,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,4,5,1.1654715650001889e-05,2.998974670758906e-07,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,8,5,6.7642660749697826e-06,4.7172218555002347e-07,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,16,5,3.99213040000177e-06,1.6663923864748636e-07,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,32,5,2.8810450374862742e-06,1.3500664871890056e-07,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,64,5,2.2300807625015294e-06,5.136623982278725e-08,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,128,5,2.6420648937488526e-06,7.613625559689828e-07,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,256,5,1.797672946874229e-06,7.482668306621167e-08,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,512,5,1.8583565417969793e-06,3.0173392431046027e-07,cpu,False,
DeepDFAMonitor,ijcnn_n8,8,1000,1024,5,2.097324004101253e-06,5.741505373554783e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,1,5,9.552674900005513e-05,8.395924156840543e-06,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,2,5,5.136440349979239e-05,6.727132046001722e-06,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,4,5,2.8050091700151827e-05,3.63141210988244e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,8,5,1.4724544274940857e-05,7.171572355486785e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,16,5,8.269556812501832e-06,4.1478228091993694e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,32,5,5.382494206241972e-06,3.8385922345481295e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,64,5,3.6592863906207644e-06,1.1283339096447297e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,128,5,4.757510256254704e-06,9.319869950074256e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,256,5,2.4317919921855946e-06,5.215935806053017e-08,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,512,5,2.903437101562645e-06,8.453122768183041e-07,cpu,False,
DeepDFAMonitorFactored,ijcnn_n8,8,1000,1024,5,2.2773692792966924e-06,3.1115179345452865e-07,cpu,False,
DeepDFAMonitorScan,ijcnn_n8,8,1000,1,5,4.441725399374263e-06,4.1164607993941753e-07,cpu,False,
DeepDFAMonitorScan,ijcnn_n8,8,1000,2,5,3.8145096999869562e-06,4.2593084547409694e-07,cpu,False,
DeepDFAMonitorScan,ijcnn_n8,8,1000,4,5,3.899860799992893e-06,1.8208187543714153e-07,cpu,False,
DeepDFAMonitorScan,ijcnn_n8,8,1000,8,5,3.772584350008401e-06,1.2111930964824162e-07,cpu,False,
