monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,kthlast_k2,5,500,64,5,3.7886789374965707e-07,4.237605541618927e-09,cpu,False,
SymbolicDFAMonitor,kthlast_k4,17,500,64,5,4.0827026874836754e-07,1.917781644450994e-08,cpu,False,
SymbolicDFAMonitor,kthlast_k6,65,500,64,5,3.903437000005283e-07,7.969308280954238e-09,cpu,False,
SymbolicDFAMonitor,kthlast_k8,257,500,64,5,4.4136297500188e-07,5.854333790472513e-09,cpu,False,
SymbolicDFAMonitor,kthlast_k10,1025,500,64,5,4.817584499988925e-07,3.04519395422522e-08,cpu,False,
DeepDFAMonitorDense,kthlast_k2,5,500,64,5,1.5426077249998118e-06,3.099011396355989e-08,cpu,False,
DeepDFAMonitorDense,kthlast_k4,17,500,64,5,2.577978943750736e-06,5.164928990444196e-08,cpu,False,
DeepDFAMonitorDense,kthlast_k6,65,500,64,5,9.689405193751098e-06,2.6869122233975317e-07,cpu,False,
DeepDFAMonitorDense,kthlast_k8,257,500,64,5,0.00013971776168749983,2.4087123336798723e-05,cpu,False,
DeepDFAMonitorDense,kthlast_k10,1025,500,64,5,0.004238872888399999,2.7183972556163496e-05,cpu,False,
DeepDFAMonitorFactored,kthlast_k2,5,500,64,5,3.907331962497551e-06,1.0709177994023894e-06,cpu,False,
DeepDFAMonitorFactored,kthlast_k4,17,500,64,5,4.3323060687470166e-06,1.761545854479996e-07,cpu,False,
DeepDFAMonitorFactored,kthlast_k6,65,500,64,5,8.354561468749466e-06,2.3068861917806372e-07,cpu,False,
DeepDFAMonitorFactored,kthlast_k8,257,500,64,5,0.00012788893463125248,3.6088053880399326e-05,cpu,False,
DeepDFAMonitorFactored,kthlast_k10,1025,500,64,5,0.0028588353539062464,6.958042892260161e-06,cpu,False,
