schema_version,benchmark_schema_version,run_id,cell_id,formula_id,formula,monitor_id,monitor_name,architecture,construction,backend,requested_device,effective_device,repetition,worker_pid,status,failure_stage,failure_reason,compile_total_s,compile_stages_json,artifact_stats_json,validation_duration_s,warnings_json,startup_host_rss_bytes,baseline_host_rss_bytes,peak_compile_host_rss_bytes,peak_observed_host_rss_bytes,host_memory_limit_bytes,baseline_gpu_allocated_bytes,peak_compile_gpu_allocated_bytes,peak_compile_gpu_reserved_bytes,provenance_json
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,ijcnn_balanced_n4::symbolic_guarded::cpu::r0,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,0,1127,success,,,1.1286163719996694,"{""ltlf_to_minimal_dfa"": 0.07822941500035085, ""monitor_initialization"": 3.0960000003688037e-06}","{""accepting_sinks"": 1, ""accepting_states"": 1, ""dfa_guarded_transitions"": 3, ""dfa_states"": 2, ""monitor_id"": ""symbolic_guarded"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 0, ""persistent_tensor_count"": 0, ""persistent_tensor_logical_bytes"": 0, ""persistent_tensor_logical_elements"": 0, ""persistent_tensor_nonzero_elements"": 0, ""tensor_devices"": {}, ""tensor_dtypes"": {}, ""trap_states"": 0}",3.305100017314544e-05,[],12955648,58798080,461221888,485060608,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,ijcnn_balanced_n4::rulerunner_original_flat::cpu::r0,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_flat,RuleRunnerMonitor,rulerunner,original,flat_cilp,cpu,cpu,0,1131,success,,,0.03645814399988012,"{""formula_parse"": 0.028998380999837536, ""monitor_initialization"": 1.964000148291234e-06, ""rules_and_cilp_lowering"": 0.003131089999442338}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 2, ""monitor_id"": ""rulerunner_original_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 65148, ""persistent_tensor_count"": 12, ""persistent_tensor_logical_bytes"": 65148, ""persistent_tensor_logical_elements"": 16332, ""persistent_tensor_nonzero_elements"": 861, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 12}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 11}, ""total_rules"": 132}",0.0022644949995083152,[],12857344,458170368,462372864,507277312,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,ijcnn_balanced_n4::rulerunner_original_structured::cpu::r0,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),rulerunner_original_structured,StructuredRuleRunnerMonitor,rulerunner,original,module_scheduled_cilp,cpu,cpu,0,1133,success,,,0.03687913399971876,"{""formula_parse"": 0.0293086140000014, ""monitor_initialization"": 2.2779995560995303e-06, ""rules_and_structured_cilp_lowering"": 0.0034188370000265422}","{""ast_depth"": 4, ""ast_nodes"": 10, ""eval_rules"": 107, ""literals"": 60, ""modules"": 20, ""monitor_id"": ""rulerunner_original_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 69468, ""persistent_tensor_count"": 84, ""persistent_tensor_logical_bytes"": 69468, ""persistent_tensor_logical_elements"": 17412, ""persistent_tensor_nonzero_elements"": 1931, ""react_rules"": 25, ""tensor_devices"": {""cpu"": 84}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 83}, ""total_rules"": 132}",0.004042141999889282,[],13008896,458383360,462761984,941088768,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,eventual_next_alias::rulerunner_bounded_flat_default::cpu::r0,eventual_next_alias,F (a & X b),rulerunner_bounded_flat_default,BoundedEventRuleRunnerMonitor,rulerunner,bounded_default,flat_cilp,cpu,cpu,0,1135,success,,,0.07572114800041163,"{""bounded_event_extraction"": 0.029516315999899234, ""bounded_pipeline_lowering"": 0.0009783819996300736, ""bounded_skeleton_lowering"": 0.01811229600025399, ""certificate_lookup"": 0.017852253000455676, ""monitor_initialization"": 1.9394000446482096e-05}","{""bounded_horizon"": 1, ""bounded_islands"": 1, ""certificate_product_states"": 2, ""certificate_source"": ""cache"", ""event_modules"": 7, ""exact_head_states"": null, ""exact_online"": false, ""monitor_id"": ""rulerunner_bounded_flat_default"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 1308, ""persistent_tensor_count"": 27, ""persistent_tensor_logical_bytes"": 1308, ""persistent_tensor_logical_elements"": 329, ""persistent_tensor_nonzero_elements"": 108, ""skeleton_ast_depth"": 1, ""skeleton_ast_nodes"": 2, ""skeleton_eval_rules"": 4, ""skeleton_literals"": 8, ""skeleton_modules"": 2, ""skeleton_react_rules"": 2, ""skeleton_total_rules"": 6, ""tensor_devices"": {""cpu"": 27}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 24, ""torch.int64"": 2}}",0.0022621040006924886,[],12890112,458215424,464748544,491802624,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,eventual_next_alias::rulerunner_bounded_flat_exact::cpu::r0,eventual_next_alias,F (a & X b),rulerunner_bounded_flat_exact,BoundedEventRuleRunnerMonitor,rulerunner,bounded_exact_online,flat_cilp,cpu,cpu,0,1137,success,,,0.09997017099976802,"{""bounded_event_extraction"": 0.031098465000468423, ""bounded_exact_online_head"": 0.01998565200028679, ""bounded_pipeline_lowering"": 0.0009777069999472587, ""bounded_skeleton_lowering"": 0.018666129999473924, ""certificate_lookup"": 0.018796721999933652, ""monitor_initialization"": 3.177199960191501e-05}","{""bounded_horizon"": 1, ""bounded_islands"": 1, ""certificate_product_states"": 2, ""certificate_source"": ""cache"", ""event_modules"": 7, ""exact_head_states"": 11, ""exact_online"": true, ""monitor_id"": ""rulerunner_bounded_flat_exact"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 1836, ""persistent_tensor_count"": 31, ""persistent_tensor_logical_bytes"": 1836, ""persistent_tensor_logical_elements"": 461, ""persistent_tensor_nonzero_elements"": 186, ""skeleton_ast_depth"": 1, ""skeleton_ast_nodes"": 2, ""skeleton_eval_rules"": 4, ""skeleton_literals"": 8, ""skeleton_modules"": 2, ""skeleton_react_rules"": 2, ""skeleton_total_rules"": 6, ""tensor_devices"": {""cpu"": 31}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 28, ""torch.int64"": 2}}",0.0020970360001228983,[],12943360,458522624,465055744,483995648,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,eventual_next_alias::rulerunner_bounded_structured_default::cpu::r0,eventual_next_alias,F (a & X b),rulerunner_bounded_structured_default,BoundedEventStructuredRuleRunnerMonitor,rulerunner,bounded_default,structured_cilp,cpu,cpu,0,1139,success,,,0.07719551599984698,"{""bounded_event_extraction"": 0.029480586000318, ""bounded_pipeline_lowering"": 0.0010947819991997676, ""bounded_skeleton_lowering"": 0.018442309999954887, ""certificate_lookup"": 0.018152317999920342, ""monitor_initialization"": 2.590100029919995e-05}","{""bounded_horizon"": 1, ""bounded_islands"": 1, ""certificate_product_states"": 2, ""certificate_source"": ""cache"", ""event_modules"": 7, ""exact_head_states"": null, ""exact_online"": false, ""monitor_id"": ""rulerunner_bounded_structured_default"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 1516, ""persistent_tensor_count"": 55, ""persistent_tensor_logical_bytes"": 1516, ""persistent_tensor_logical_elements"": 381, ""persistent_tensor_nonzero_elements"": 160, ""skeleton_ast_depth"": 1, ""skeleton_ast_nodes"": 2, ""skeleton_eval_rules"": 4, ""skeleton_literals"": 8, ""skeleton_modules"": 4, ""skeleton_react_rules"": 2, ""skeleton_total_rules"": 6, ""tensor_devices"": {""cpu"": 55}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 52, ""torch.int64"": 2}}",0.0025350619998789625,[],12902400,458424320,464957440,505016320,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,eventual_next_alias::rulerunner_bounded_structured_exact::cpu::r0,eventual_next_alias,F (a & X b),rulerunner_bounded_structured_exact,BoundedEventStructuredRuleRunnerMonitor,rulerunner,bounded_exact_online,structured_cilp,cpu,cpu,0,1141,success,,,0.0969363379999777,"{""bounded_event_extraction"": 0.029810639999595878, ""bounded_exact_online_head"": 0.019662252000671288, ""bounded_pipeline_lowering"": 0.0010734870002124808, ""bounded_skeleton_lowering"": 0.018600262999825645, ""certificate_lookup"": 0.018109863000063342, ""monitor_initialization"": 2.8679000024567358e-05}","{""bounded_horizon"": 1, ""bounded_islands"": 1, ""certificate_product_states"": 2, ""certificate_source"": ""cache"", ""event_modules"": 7, ""exact_head_states"": 11, ""exact_online"": true, ""monitor_id"": ""rulerunner_bounded_structured_exact"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 2044, ""persistent_tensor_count"": 59, ""persistent_tensor_logical_bytes"": 2044, ""persistent_tensor_logical_elements"": 513, ""persistent_tensor_nonzero_elements"": 238, ""skeleton_ast_depth"": 1, ""skeleton_ast_nodes"": 2, ""skeleton_eval_rules"": 4, ""skeleton_literals"": 8, ""skeleton_modules"": 4, ""skeleton_react_rules"": 2, ""skeleton_total_rules"": 6, ""tensor_devices"": {""cpu"": 59}, ""tensor_dtypes"": {""torch.bool"": 1, ""torch.float32"": 56, ""torch.int64"": 2}}",0.002860428000531101,[],12972032,458326016,464859136,505012224,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,eventual_next_alias::rulerunner_progression_flat::cpu::r0,eventual_next_alias,F (a & X b),rulerunner_progression_flat,ProgressionRuleRunnerMonitor,rulerunner,progression,flat_cilp,cpu,cpu,0,1143,success,,,0.0385015839992775,"{""monitor_initialization"": 0.00026246400011586957, ""progression_flat_cilp_lowering"": 0.0003768300002775504, ""progression_residual_graph"": 0.031203784000354062}","{""modules"": 1, ""monitor_id"": ""rulerunner_progression_flat"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 396, ""persistent_tensor_count"": 8, ""persistent_tensor_logical_bytes"": 396, ""persistent_tensor_logical_elements"": 99, ""persistent_tensor_nonzero_elements"": 64, ""progression_closure"": 9, ""progression_input_subformulae"": 5, ""progression_roots"": 2, ""progression_states"": 3, ""tensor_devices"": {""cpu"": 8}, ""tensor_dtypes"": {""torch.float32"": 8}, ""transition_clauses"": 9}",0.0013179260004108073,[],12951552,458330112,460853248,503521280,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,eventual_next_alias::rulerunner_progression_structured::cpu::r0,eventual_next_alias,F (a & X b),rulerunner_progression_structured,ProgressionRuleRunnerStructuredMonitor,rulerunner,progression,structured_cilp,cpu,cpu,0,1145,success,,,0.04093006399943988,"{""monitor_initialization"": 3.5476000448397826e-05, ""progression_factorized_graph"": 0.03209322600014275, ""progression_structured_cilp_lowering"": 0.0013221180006439681}","{""eval_modules"": 9, ""label_modules"": 1, ""monitor_id"": ""rulerunner_progression_structured"", ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 1204, ""persistent_tensor_count"": 51, ""persistent_tensor_logical_bytes"": 1204, ""persistent_tensor_logical_elements"": 299, ""persistent_tensor_nonzero_elements"": 151, ""progression_closure"": 9, ""progression_roots"": 2, ""progression_states"": 3, ""react_modules"": 2, ""tensor_devices"": {""cpu"": 51}, ""tensor_dtypes"": {""torch.float32"": 50, ""torch.int64"": 1}}",0.0026126180000574095,[],12779520,458153984,463200256,942710784,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
e2.v1,e0.v1,c214e251-848f-49ee-a935-af0ec4627794,ijcnn_balanced_n4::deepdfa_dense::cpu::r0,ijcnn_balanced_n4,F(((a & b) | ((a & c) | (a & d)))),deepdfa_dense,DeepDFAMonitorDense,deepdfa,fixed_dfa,dense,cpu,cpu,0,1147,success,,,0.07581024499995692,"{""dfa_tensor_lowering"": 0.000785682999776327, ""ltlf_to_minimal_dfa"": 0.07226818900016951, ""monitor_initialization"": 5.3965000006428454e-05}","{""alphabet_size"": 16, ""cube_count"": null, ""cube_mask_elements"": null, ""cube_tensor_bytes"": null, ""dense_tensor_bytes"": 256, ""dense_tensor_elements"": 64, ""device"": ""cpu"", ""dtype"": ""torch.float32"", ""mode"": ""dense"", ""monitor_id"": ""deepdfa_dense"", ""n_accepting_states"": 1, ""n_atoms"": 4, ""n_states"": 2, ""n_transitions"": 3, ""persistent_numpy_bytes"": 0, ""persistent_tensor_allocated_bytes"": 280, ""persistent_tensor_count"": 4, ""persistent_tensor_logical_bytes"": 280, ""persistent_tensor_logical_elements"": 70, ""persistent_tensor_nonzero_elements"": 35, ""tensor_devices"": {""cpu"": 4}, ""tensor_dtypes"": {""torch.float32"": 4}}",0.0007483480003429577,[],12980224,458199040,462946304,490442752,6523361689,,,,"{""ltlf2dfa"": ""1.0.2"", ""platform"": ""Linux-5.15.146.1-microsoft-standard-WSL2-x86_64-with-glibc2.35"", ""python"": ""3.11.15"", ""torch"": ""2.6.0+cu124""}"
