monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,ijcnn_n8,8,1000,1,7,3.3290185719384416e-07,3.725202180336388e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,2,7,3.1288507141523176e-07,9.294972353947088e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,4,7,3.498922857180072e-07,1.6864890921079367e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,8,7,3.075728928649824e-07,4.466270950842316e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,16,7,3.173700089271442e-07,9.126968944421529e-09,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,32,7,6.567730044640793e-07,4.691102448485309e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,64,7,3.2881421651761605e-07,1.1862424275969801e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,128,7,3.3946564062478243e-07,3.524952526902727e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,256,7,3.496941768974843e-07,2.988463559058242e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,512,7,6.585456523436735e-07,3.022185084824591e-08,cpu,False,
SymbolicDFAMonitor,ijcnn_n8,8,1000,1024,7,3.2545948883933024e-07,1.3706786016382014e-08,cpu,False,
RuleRunnerMonitor,ijcnn_n8,8,1000,1,7,0.0010935239644285436,0.00013894899210720456,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,2,7,0.0005442714452857281,7.515639298891727e-05,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,4,7,0.00026183923949999355,3.5916294350501994e-05,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,8,7,0.00011927890644642908,1.9913952405091123e-06,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,16,7,6.414059700893151e-05,7.1477451631975465e-06,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,32,7,3.594651529017868e-05,5.092163887416784e-06,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,64,7,1.9386626537947138e-05,2.6982967217295164e-06,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,128,7,1.0146801725447067e-05,1.5471434988039296e-06,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,256,7,5.9238916032366986e-06,1.023030320989142e-06,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,512,7,3.6724905050222746e-06,6.099559449820569e-07,cuda,False,Tesla T4
RuleRunnerMonitor,ijcnn_n8,8,1000,1024,7,2.604835148995502e-06,3.8113245265611694e-07,cuda,False,Tesla T4
