monitor_name,formula_name,n_leaves,trace_length,n_traces,n_repeats,mean_s_per_cell,std_s_per_cell,device,early_termination,gpu_name
SymbolicDFAMonitor,kthlast_k2,5,500,64,7,2.7564995983604086e-07,7.754247869591293e-09,cpu,False,
SymbolicDFAMonitor,kthlast_k4,17,500,64,7,2.8311606698545283e-07,1.116680511146121e-08,cpu,False,
SymbolicDFAMonitor,kthlast_k6,65,500,64,7,2.8542128128654956e-07,1.4636333480676072e-08,cpu,False,
SymbolicDFAMonitor,kthlast_k8,257,500,64,7,3.0173057143656475e-07,1.6909010503854544e-08,cpu,False,
SymbolicDFAMonitor,kthlast_k10,1025,500,64,7,2.9221976787344567e-07,4.94286152547085e-09,cpu,False,
DeepDFAMonitorDense,kthlast_k2,5,500,64,7,1.7973071383689138e-06,6.588417489764951e-08,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
DeepDFAMonitorDense,kthlast_k4,17,500,64,7,1.7840362857311576e-06,1.1090392398672746e-07,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
DeepDFAMonitorDense,kthlast_k6,65,500,64,7,2.2708838839662344e-06,3.172746558376907e-07,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
DeepDFAMonitorDense,kthlast_k8,257,500,64,7,4.880442584830494e-06,2.774440159884836e-08,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
DeepDFAMonitorDense,kthlast_k10,1025,500,64,7,6.0745511410703196e-05,1.6514039899693461e-06,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
DeepDFAMonitorFactored,kthlast_k2,5,500,64,7,3.5494780981935034e-06,3.886132638788712e-07,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
DeepDFAMonitorFactored,kthlast_k4,17,500,64,7,3.5299266026770834e-06,4.2386554816814387e-07,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
DeepDFAMonitorFactored,kthlast_k6,65,500,64,7,3.39539369645081e-06,1.827407876300145e-07,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
DeepDFAMonitorFactored,kthlast_k8,257,500,64,7,4.815914669636965e-06,1.103652819872787e-07,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
DeepDFAMonitorFactored,kthlast_k10,1025,500,64,7,5.285229960268874e-05,1.422684235436392e-06,cuda,False,NVIDIA GeForce RTX 3050 Laptop GPU
