bounded_horizon,certificate_generation_s,certificate_product_states,eventization_s,formula_id,language_equivalent,prefix_sound,repetition,run_id,schema_version,status,total_s,worker_peak_host_rss_bytes,peak_compile_host_rss_bytes,host_memory_limit_bytes,failure_reason
2,0.04988935299843433,3,0.032625089999783086,nested_next_control,True,True,0,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08251605699842912,472154112,472154112,6523361689,
2,0.05030085699763731,3,0.032751719998486806,nested_next_control,True,True,1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08305437899980461,472154112,472154112,6523361689,
2,0.04905489500015392,3,0.0332573850027984,nested_next_control,True,True,2,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08231398199859541,472154112,472154112,6523361689,
2,0.05070958999931463,3,0.03300457799923606,nested_next_control,True,True,3,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08371592799812788,472154112,472154112,6523361689,
2,0.05061899700012873,3,0.033402437999029644,nested_next_control,True,True,4,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.084023099996557,472154112,472154112,6523361689,
0,0.05239227399943047,2,0.033982623001065804,ijcnn_balanced_n4,True,True,0,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.0863769030002004,472154112,472154112,6523361689,
0,0.07932086599976174,2,0.04425370599710732,ijcnn_balanced_n4,True,True,1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.12357642400093027,472154112,472154112,6523361689,
0,0.050139255999965826,2,0.03337032999843359,ijcnn_balanced_n4,True,True,2,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08351129599759588,472154112,472154112,6523361689,
0,0.049664397000015015,2,0.034487377997720614,ijcnn_balanced_n4,True,True,3,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08415372200033744,472154112,472154112,6523361689,
0,0.05056685700037633,2,0.03335774500010302,ijcnn_balanced_n4,True,True,4,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08392635800191783,472154112,472154112,6523361689,
1,0.050101295000786195,2,0.03267840599801275,eventual_next_alias,True,True,0,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08278167200114694,472154112,472154112,6523361689,
1,0.050705321998975705,2,0.0334431079973001,eventual_next_alias,True,True,1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08415007999792579,472154112,472154112,6523361689,
1,0.053313732001697645,2,0.034351693000644445,eventual_next_alias,True,True,2,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08766716799800633,472154112,472154112,6523361689,
1,0.04936723699938739,2,0.03280799099957221,eventual_next_alias,True,True,3,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.0821768850000808,472154112,472154112,6523361689,
1,0.05261579800207983,2,0.0332935840015125,eventual_next_alias,True,True,4,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08591116400202736,472154112,472154112,6523361689,
2,0.051535260001401184,3,0.03354844800196588,next_offset_alias,True,True,0,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.0850857739969797,472154112,472154112,6523361689,
2,0.05006932099786354,3,0.033688235002045985,next_offset_alias,True,True,1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08375922100094613,472154112,472154112,6523361689,
2,0.049507530999107985,3,0.033427596998080844,next_offset_alias,True,True,2,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08293695500105969,472154112,472154112,6523361689,
2,0.04950017300143372,3,0.032670484000846045,next_offset_alias,True,True,3,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.082172463000461,472154112,472154112,6523361689,
2,0.049116639002022566,3,0.03308206200017594,next_offset_alias,True,True,4,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.0822004809997452,472154112,472154112,6523361689,
1,0.052945487001125,2,0.032283751002978534,globally_next_alias,True,True,0,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08523102799881599,472154112,472154112,6523361689,
1,0.04995223300284124,2,0.03263850000075763,globally_next_alias,True,True,1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08259229100076482,472154112,472154112,6523361689,
1,0.055068796002160525,2,0.03999132700118935,globally_next_alias,True,True,2,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.09506183700068505,472154112,472154112,6523361689,
1,0.049476488999061985,2,0.03225322100115591,globally_next_alias,True,True,3,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08173166100095841,472154112,472154112,6523361689,
1,0.05161729999963427,2,0.03518576200076495,globally_next_alias,True,True,4,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08680492999701528,472154112,472154112,6523361689,
1,0.0538909370006877,3,0.03509445300005609,until_next_alias,True,True,0,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08898729999782518,472154112,472154112,6523361689,
1,0.05210764499861398,3,0.0326841809983307,until_next_alias,True,True,1,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08479362600337481,472154112,472154112,6523361689,
1,0.05319911900005536,3,0.0326845890012919,until_next_alias,True,True,2,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08588527699976112,472154112,472154112,6523361689,
1,0.056511033999413485,3,0.032896871998673305,until_next_alias,True,True,3,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.089409774998785,472154112,472154112,6523361689,
1,0.05272286599938525,3,0.033076807001634734,until_next_alias,True,True,4,8fbfc9ee-0721-4dbb-8c63-46739b75d687,rq2.v1,success,0.08580125899970881,472154112,472154112,6523361689,
