schema_version,formula_id,workload_mode,timing_boundary,requested_device,effective_device,trace_length,batch_size,monitor_id,latency_s_per_trace_median,compile_s_median,persistent_host_rss_delta_bytes_median,pareto_optimal,dominated_by_json
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,1,deepdfa_dense,0.0011870566042186208,0.06630133200087585,3821568.0,True,[]
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,1,deepdfa_factored,0.002267231115323599,0.07119378999777837,4595712.0,False,"[""deepdfa_dense""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,1,rulerunner_bounded_flat_default,0.0073791240001810365,0.12539689600089332,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,1,rulerunner_bounded_flat_exact,0.00742184783302946,0.16432864799935487,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,1,rulerunner_original_flat,0.007130908833156961,0.05369962600161671,5111808.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,1,rulerunner_progression_flat,0.004246780124958605,0.05360209300124552,4890624.0,True,[]
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,1,symbolic_guarded,5.575436464483812e-05,0.06557592299941462,inf,True,[]
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,32,deepdfa_dense,8.425030468401928e-05,0.06630133200087585,3821568.0,True,[]
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,32,deepdfa_factored,0.00011926403385587037,0.07119378999777837,4595712.0,False,"[""deepdfa_dense""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,32,rulerunner_bounded_flat_default,0.0005175606406169209,0.12539689600089332,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,32,rulerunner_bounded_flat_exact,0.000522680468748149,0.16432864799935487,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_bounded_flat_default"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,32,rulerunner_original_flat,0.0002643160520771441,0.05369962600161671,5111808.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,32,rulerunner_progression_flat,0.00016485116874491722,0.05360209300124552,4890624.0,True,[]
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,32,symbolic_guarded,5.724556445585449e-05,0.06557592299941462,inf,True,[]
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,128,deepdfa_dense,5.72697998038052e-05,0.06630133200087585,3821568.0,True,[]
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,128,deepdfa_factored,6.410802474003201e-05,0.07119378999777837,4595712.0,False,"[""deepdfa_dense""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,128,rulerunner_bounded_flat_default,0.0003458760937462557,0.12539689600089332,7159808.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,128,rulerunner_bounded_flat_exact,0.0003457323281281788,0.16432864799935487,7430144.0,False,"[""deepdfa_dense"", ""deepdfa_factored"", ""rulerunner_original_flat"", ""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,128,rulerunner_original_flat,8.847553711177625e-05,0.05369962600161671,5111808.0,False,"[""rulerunner_progression_flat""]"
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,128,rulerunner_progression_flat,6.316686197749277e-05,0.05360209300124552,4890624.0,True,[]
rq4.v1,atomic_control,capacity,core_native,cpu,cpu,64,128,symbolic_guarded,5.536197070199478e-05,0.06557592299941462,inf,True,[]
rq4.v1,atomic_control,capacity,end_to_end,cpu,cpu,64,1,deepdfa_dense,0.0012443869374389276,0.06702793799922802,3846144.0,True,[]
