schema_version,run_id,cell_id,formula_id,formula_family,monitor_id,monitor_name,architecture,construction,backend,requested_device,effective_device,workload_mode,timing_boundary,boundary_detail,trace_profile,trace_seed,repetition,trace_length,batch_size,early_termination,warmup_iterations,measurement_blocks,inner_iterations,status,median_duration_s_per_batch,p95_duration_s_per_batch,median_duration_s_per_trace,median_duration_s_per_cell,throughput_traces_s,throughput_cells_s,offered_traces,offered_cells,processed_traces,processed_cells,processed_cell_fraction,semantic_decision_indices_json,strata_counts_json,timing_samples_json,persistent_tensor_bytes,persistent_host_rss_delta_bytes,peak_runtime_host_rss_bytes,peak_runtime_gpu_allocated_bytes,peak_runtime_gpu_reserved_bytes,warnings_json,failure_reason
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r0::l64::b1,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,1301,0,64,1,False,2,7,566,success,9.859581095373831e-05,0.00010274033251103522,9.859581095373831e-05,1.5405595461521611e-06,10142.418732872997,649114.7989038718,1,64,1,64,1.0,[0],"{""uniform_bernoulli_p0.5"": 1}","[9.791518551592226e-05, 9.737956713666636e-05, 0.00010217071554481419, 0.00010055772261616944, 0.0001029844540679871, 9.859581095373831e-05, 9.731749292775083e-05]",,0,444878848,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r0::l64::b32,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,1301,0,64,32,False,2,7,16,success,0.0030855973125198943,0.0032395071437349545,9.64249160162467e-05,1.5066393127538547e-06,10370.76350506242,663728.8643239948,32,2048,32,2048,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 32}","[0.0030834704998596862, 0.0030982530624896754, 0.003247627749942694, 0.003029357249943132, 0.003220559062583561, 0.0030855973125198943, 0.0030542193123892503]",,0,444878848,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r0::l64::b128,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,1301,0,64,128,False,2,7,4,success,0.012160352000137209,0.012804275574944768,9.500275000107195e-05,1.4844179687667491e-06,10526.011089033915,673664.7096981705,128,8192,128,8192,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 128}","[0.012160352000137209, 0.012067820750417013, 0.012286645000131102, 0.012342545250248804, 0.012023686250358878, 0.012019679500554048, 0.013002159999814467]",,0,444878848,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r1::l64::b1,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,2411,1,64,1,False,2,7,596,success,9.455428691532059e-05,0.00010256544261796349,9.455428691532059e-05,1.4774107330518843e-06,10575.935080506333,676859.8451524053,1,64,1,64,1.0,[0],"{""uniform_bernoulli_p0.5"": 1}","[9.51809429505179e-05, 9.455428691532059e-05, 9.37309949698365e-05, 9.415242784720457e-05, 9.430369966945278e-05, 0.00010573022818972588, 9.494188758473329e-05]",,0,444710912,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r1::l64::b32,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,2411,1,64,32,False,2,7,18,success,0.003053422999881958,0.003131750527730522,9.541946874631119e-05,1.4909291991611124e-06,10480.041579970113,670722.6611180872,32,2048,32,2048,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 32}","[0.003006816611054496, 0.003053422999881958, 0.003023974944476827, 0.0030232515000534477, 0.0031198273888245844, 0.0031368604444044954, 0.0030774728333603386]",,0,444710912,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r1::l64::b128,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,2411,1,64,128,False,2,7,4,success,0.012115358000301057,0.012281708550563052,9.465123437735201e-05,1.4789255371461252e-06,10565.102574502487,676166.5647681592,128,8192,128,8192,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 128}","[0.011954739499742573, 0.01227728699996078, 0.012282360750759835, 0.011985437250586983, 0.012115358000301057, 0.012280186750103894, 0.011990956500085304]",,0,444710912,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r2::l64::b1,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,3527,2,64,1,False,2,7,600,success,9.645164499791765e-05,0.00010164143350023854,9.645164499791765e-05,1.5070569530924633e-06,10367.889526628494,663544.9297042236,1,64,1,64,1.0,[0],"{""uniform_bernoulli_p0.5"": 1}","[0.00010104242833525253, 0.00010189814999951825, 9.506633833249604e-05, 9.645164499791765e-05, 9.390116500071599e-05, 9.262030333047733e-05, 9.779465167108961e-05]",,0,444628992,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r2::l64::b32,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,3527,2,64,32,False,2,7,18,success,0.0030084633888489204,0.003448427983433551,9.401448090152876e-05,1.468976264086387e-06,10636.659272175368,680746.1934192235,32,2048,32,2048,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 32}","[0.002984530888877796, 0.002975887277797382, 0.00302010349999667, 0.0033152887222564053, 0.0035054876667951853, 0.0030084633888489204, 0.0029906268888832224]",,0,444628992,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r2::l64::b128,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,3527,2,64,128,False,2,7,4,success,0.01189021850041172,0.012144515350155417,9.289233203446656e-05,1.45144268803854e-06,10765.151203534886,688969.6770262327,128,8192,128,8192,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","{""uniform_bernoulli_p0.5"": 128}","[0.012013273750199005, 0.011886307249369565, 0.011910095250641461, 0.012200761750136735, 0.01189021850041172, 0.011827384500065818, 0.01181981174977409]",,0,444628992,,,[],
rq4.v1,16cd3445-7fa4-4c7d-bf2a-a1283d6c01eb,capacity_end_to_end::atomic_control::symbolic_guarded::r3::l64::b1,atomic_control,repair_control,symbolic_guarded,SymbolicDFAMonitor,symbolic_dfa,canonical_dfa,guarded_edges,cpu,cpu,capacity,end_to_end,numpy boolean cube -> Observation mappings -> public monitor verdicts,uniform_bernoulli_p0.5,4637,3,64,1,False,2,7,590,success,9.502466949062043e-05,9.814814847370636e-05,9.502466949062043e-05,1.4847604607909442e-06,10523.583037546967,673509.3144030059,1,64,1,64,1.0,[0],"{""uniform_bernoulli_p0.5"": 1}","[9.428765592698039e-05, 9.441217119012312e-05, 9.450570678227912e-05, 9.570852203454459e-05, 9.502466949062043e-05, 9.706022033627713e-05, 9.861440338974747e-05]",,0,444944384,,,[],
