schema_version,formula_id,monitor_id,baseline_monitor_id,workload_mode,timing_boundary,requested_device,effective_device,trace_length,batch_size,symbolic_over_monitor_runtime_ratio,cold_start_break_even_traces,break_even_status
rq4.v1,atomic_control,deepdfa_dense,symbolic_guarded,capacity,core_native,cpu,cpu,64,1,0.046968581318443864,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_dense,symbolic_guarded,capacity,core_native,cpu,cpu,64,32,0.6794701178892343,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_dense,symbolic_guarded,capacity,core_native,cpu,cpu,64,128,0.9666869954435626,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_dense,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,1,0.07750936794340252,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_dense,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,32,0.7514646934295413,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_dense,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,128,0.993862463992581,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_dense,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,1,0.03170756153808278,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_dense,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,64,0.3755074713158186,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_factored,symbolic_guarded,capacity,core_native,cpu,cpu,64,1,0.02459139002989573,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_factored,symbolic_guarded,capacity,core_native,cpu,cpu,64,32,0.47999017478341627,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_factored,symbolic_guarded,capacity,core_native,cpu,cpu,64,128,0.8635731786542507,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_factored,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,1,0.04101577698266927,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_factored,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,32,0.5889856727707402,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_factored,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,128,0.9091887310555514,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_factored,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,1,0.017603381595757236,,symbolic_always_or_equal
rq4.v1,atomic_control,deepdfa_factored,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,64,0.33234232240950284,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_default,symbolic_guarded,capacity,core_native,cpu,cpu,64,1,0.0075556888112288485,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_default,symbolic_guarded,capacity,core_native,cpu,cpu,64,32,0.11060648736275433,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_default,symbolic_guarded,capacity,core_native,cpu,cpu,64,128,0.1600630159267667,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_default,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,1,0.01242480501764502,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_default,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,32,0.16779299904053005,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_default,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,128,0.24831031864029152,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_default,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,1,0.005573689810987338,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_default,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,64,0.11312573712324658,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,symbolic_guarded,capacity,core_native,cpu,cpu,64,1,0.007512194523406205,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,symbolic_guarded,capacity,core_native,cpu,cpu,64,32,0.10952306022255058,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,symbolic_guarded,capacity,core_native,cpu,cpu,64,128,0.16012957481219275,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,1,0.013057397348878674,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,32,0.16367489887269526,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,128,0.24347192773573542,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,1,0.005495607405423319,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_bounded_flat_exact,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,64,0.10789104529111479,,symbolic_always_or_equal
rq4.v1,atomic_control,rulerunner_original_flat,symbolic_guarded,capacity,core_native,cpu,cpu,64,1,0.00781868986819662,1.6785919022196907,monitor_wins_before
rq4.v1,atomic_control,rulerunner_original_flat,symbolic_guarded,capacity,core_native,cpu,cpu,64,32,0.21657997691016748,57.35388530845796,monitor_wins_before
rq4.v1,atomic_control,rulerunner_original_flat,symbolic_guarded,capacity,core_native,cpu,cpu,64,128,0.6257319538173903,358.65351532445476,monitor_wins_before
rq4.v1,atomic_control,rulerunner_original_flat,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,1,0.013044974436644407,1.2657552303172779,monitor_wins_before
rq4.v1,atomic_control,rulerunner_original_flat,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,32,0.31401949066542834,44.3119981810457,monitor_wins_before
rq4.v1,atomic_control,rulerunner_original_flat,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,128,0.7398763012760013,276.5390836587464,monitor_wins_before
rq4.v1,atomic_control,rulerunner_original_flat,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,1,0.005730595446699343,1.7587927228817974,monitor_wins_before
rq4.v1,atomic_control,rulerunner_original_flat,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,64,0.21994901666984568,87.06877478076454,monitor_wins_before
rq4.v1,atomic_control,rulerunner_progression_flat,symbolic_guarded,capacity,core_native,cpu,cpu,64,1,0.013128620508786427,2.857016559419253,monitor_wins_before
rq4.v1,atomic_control,rulerunner_progression_flat,symbolic_guarded,capacity,core_native,cpu,cpu,64,32,0.3472560424757044,111.27515223095254,monitor_wins_before
rq4.v1,atomic_control,rulerunner_progression_flat,symbolic_guarded,capacity,core_native,cpu,cpu,64,128,0.8764400980014017,1534.1443686420987,monitor_wins_before
rq4.v1,atomic_control,rulerunner_progression_flat,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,1,0.022344874455193002,2.1981313410495935,monitor_wins_before
rq4.v1,atomic_control,rulerunner_progression_flat,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,32,0.4628371591302621,83.76378686049506,monitor_wins_before
rq4.v1,atomic_control,rulerunner_progression_flat,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,128,0.9293352516682974,1284.1165930722927,monitor_wins_before
rq4.v1,atomic_control,rulerunner_progression_flat,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,1,0.009139783974597571,2.599629215373825,monitor_wins_before
rq4.v1,atomic_control,rulerunner_progression_flat,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,64,0.29509347236800515,119.38791063844924,monitor_wins_before
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,core_native,cpu,cpu,64,1,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,core_native,cpu,cpu,64,32,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,core_native,cpu,cpu,64,128,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,core_native,cuda,cpu,64,1,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,core_native,cuda,cpu,64,32,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,core_native,cuda,cpu,64,128,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,1,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,32,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,end_to_end,cpu,cpu,64,128,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,end_to_end,cuda,cpu,64,1,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,end_to_end,cuda,cpu,64,32,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,capacity,end_to_end,cuda,cpu,64,128,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,1,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,deployment,end_to_end,cpu,cpu,64,64,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,deployment,end_to_end,cuda,cpu,64,1,1.0,,monitor_always_or_equal
rq4.v1,atomic_control,symbolic_guarded,symbolic_guarded,deployment,end_to_end,cuda,cpu,64,64,1.0,,monitor_always_or_equal
rq4.v1,ijcnn_balanced_n4,deepdfa_dense,symbolic_guarded,capacity,core_native,cpu,cpu,64,1,0.04960897302310718,,symbolic_always_or_equal
rq4.v1,ijcnn_balanced_n4,deepdfa_dense,symbolic_guarded,capacity,core_native,cpu,cpu,64,32,0.5554852209754406,,symbolic_always_or_equal
